,'MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS','MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS','MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS','MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS','MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS','MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS','MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS','MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS','MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS','MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS','MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS','MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS','MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS','MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS','MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS','MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS','MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS','MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS','MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW','MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW','MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW','MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW','MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW','MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW','MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW','MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW','MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW','MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW','MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW','MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW','MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW','MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW','MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW','MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW','MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW','MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW','MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE','MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE','MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE','MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE','MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE','MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE','MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE','MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE','MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE','MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE','MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE','MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE','MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE','MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE','MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE','MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE','MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE','MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE'
'MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS',0,0.25357775975485508,0.299368223709641395,0.330035321065390356,0.330035321065390336,0.339743094673367536,0.339743094673367536,0.3447134021259097148,0.3447134021259097148,0.3540984582154544408,0.3540984582154544348,0.3540984582154544348,0.9114329314787716638,0.9114329314787716598,0.9114329314787716598,0.9114329314787716638,0.9114329314787716588,0.9114329314787716788,5.3434553592306056828,5.3434553592306056728,5.3434553592306056728,5.3434553592306056618,5.3434553592306056618,5.3434553592306056788,5.3434553592306056618,5.3434553592306056618,5.3434553592306056718,5.3434553592306056618,5.3434553592306056628,5.3434553592306056628,5.3434553592306056778,5.3434553592306056778,5.3434553592306056678,5.3434553592306056678,5.3434553592306056538,5.3434553592306056788,5.6293975389199440388,5.6293975389199440388,5.6293975389199440418,5.6293975389199440458,5.6293975389199440458,5.6293975389199440378,5.6293975389199440378,5.6293975389199440378,5.6293975389199440378,5.6293975389199440378,5.6293975389199440578,5.6293975389199440478,5.6293975389199440478,5.6293975389199440388,5.6293975389199440388,5.6293975389199440488,5.6293975389199440388,5.6293975389199440388,
'MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS',0.25357775975485508,0,0.299368223709641395,0.330035321065390356,0.330035321065390336,0.339743094673367536,0.339743094673367536,0.3447134021259097148,0.3447134021259097148,0.3540984582154544408,0.3540984582154544348,0.3540984582154544348,0.9114329314787716638,0.9114329314787716598,0.9114329314787716598,0.9114329314787716638,0.9114329314787716588,0.9114329314787716788,5.3434553592306056828,5.3434553592306056728,5.3434553592306056728,5.3434553592306056618,5.3434553592306056618,5.3434553592306056788,5.3434553592306056618,5.3434553592306056618,5.3434553592306056718,5.3434553592306056618,5.3434553592306056628,5.3434553592306056628,5.3434553592306056778,5.3434553592306056778,5.3434553592306056678,5.3434553592306056678,5.3434553592306056538,5.3434553592306056788,5.6293975389199440388,5.6293975389199440388,5.6293975389199440418,5.6293975389199440458,5.6293975389199440458,5.6293975389199440378,5.6293975389199440378,5.6293975389199440378,5.6293975389199440378,5.6293975389199440378,5.6293975389199440578,5.6293975389199440478,5.6293975389199440478,5.6293975389199440388,5.6293975389199440388,5.6293975389199440488,5.6293975389199440388,5.6293975389199440388,
'MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS',0.299368223709641395,0.299368223709641395,0,0.330035321065390361,0.330035321065390341,0.339743094673367541,0.339743094673367541,0.3447134021259097198,0.3447134021259097198,0.3540984582154544458,0.3540984582154544398,0.3540984582154544398,0.9114329314787716688,0.9114329314787716648,0.9114329314787716648,0.9114329314787716688,0.9114329314787716638,0.9114329314787716838,5.3434553592306056878,5.3434553592306056778,5.3434553592306056778,5.3434553592306056668,5.3434553592306056668,5.3434553592306056838,5.3434553592306056668,5.3434553592306056668,5.3434553592306056768,5.3434553592306056668,5.3434553592306056678,5.3434553592306056678,5.3434553592306056828,5.3434553592306056828,5.3434553592306056728,5.3434553592306056728,5.3434553592306056588,5.3434553592306056838,5.6293975389199440438,5.6293975389199440438,5.6293975389199440468,5.6293975389199440508,5.6293975389199440508,5.6293975389199440428,5.6293975389199440428,5.6293975389199440428,5.6293975389199440428,5.6293975389199440428,5.6293975389199440628,5.6293975389199440528,5.6293975389199440528,5.6293975389199440438,5.6293975389199440438,5.6293975389199440538,5.6293975389199440438,5.6293975389199440438,
'MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS',0.330035321065390356,0.330035321065390356,0.330035321065390361,0,0.24962105457946298,0.33974309467336754,0.33974309467336754,0.3447134021259097188,0.3447134021259097188,0.3540984582154544448,0.3540984582154544388,0.3540984582154544388,0.9114329314787716678,0.9114329314787716638,0.9114329314787716638,0.9114329314787716678,0.9114329314787716628,0.9114329314787716828,5.3434553592306056868,5.3434553592306056768,5.3434553592306056768,5.3434553592306056658,5.3434553592306056658,5.3434553592306056828,5.3434553592306056658,5.3434553592306056658,5.3434553592306056758,5.3434553592306056658,5.3434553592306056668,5.3434553592306056668,5.3434553592306056818,5.3434553592306056818,5.3434553592306056718,5.3434553592306056718,5.3434553592306056578,5.3434553592306056828,5.6293975389199440428,5.6293975389199440428,5.6293975389199440458,5.6293975389199440498,5.6293975389199440498,5.6293975389199440418,5.6293975389199440418,5.6293975389199440418,5.6293975389199440418,5.6293975389199440418,5.6293975389199440618,5.6293975389199440518,5.6293975389199440518,5.6293975389199440428,5.6293975389199440428,5.6293975389199440528,5.6293975389199440428,5.6293975389199440428,
'MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS',0.330035321065390336,0.330035321065390336,0.330035321065390341,0.24962105457946298,0,0.33974309467336752,0.33974309467336752,0.3447134021259096988,0.3447134021259096988,0.3540984582154544248,0.3540984582154544188,0.3540984582154544188,0.9114329314787716478,0.9114329314787716438,0.9114329314787716438,0.9114329314787716478,0.9114329314787716428,0.9114329314787716628,5.3434553592306056668,5.3434553592306056568,5.3434553592306056568,5.3434553592306056458,5.3434553592306056458,5.3434553592306056628,5.3434553592306056458,5.3434553592306056458,5.3434553592306056558,5.3434553592306056458,5.3434553592306056468,5.3434553592306056468,5.3434553592306056618,5.3434553592306056618,5.3434553592306056518,5.3434553592306056518,5.3434553592306056378,5.3434553592306056628,5.6293975389199440228,5.6293975389199440228,5.6293975389199440258,5.6293975389199440298,5.6293975389199440298,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440418,5.6293975389199440318,5.6293975389199440318,5.6293975389199440228,5.6293975389199440228,5.6293975389199440328,5.6293975389199440228,5.6293975389199440228,
'MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS',0.339743094673367536,0.339743094673367536,0.339743094673367541,0.33974309467336754,0.33974309467336752,0,0.24991416167476396,0.3447134021259096988,0.3447134021259096988,0.3540984582154544248,0.3540984582154544188,0.3540984582154544188,0.9114329314787716478,0.9114329314787716438,0.9114329314787716438,0.9114329314787716478,0.9114329314787716428,0.9114329314787716628,5.3434553592306056668,5.3434553592306056568,5.3434553592306056568,5.3434553592306056458,5.3434553592306056458,5.3434553592306056628,5.3434553592306056458,5.3434553592306056458,5.3434553592306056558,5.3434553592306056458,5.3434553592306056468,5.3434553592306056468,5.3434553592306056618,5.3434553592306056618,5.3434553592306056518,5.3434553592306056518,5.3434553592306056378,5.3434553592306056628,5.6293975389199440228,5.6293975389199440228,5.6293975389199440258,5.6293975389199440298,5.6293975389199440298,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440418,5.6293975389199440318,5.6293975389199440318,5.6293975389199440228,5.6293975389199440228,5.6293975389199440328,5.6293975389199440228,5.6293975389199440228,
'MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS',0.339743094673367536,0.339743094673367536,0.339743094673367541,0.33974309467336754,0.33974309467336752,0.24991416167476396,0,0.3447134021259096988,0.3447134021259096988,0.3540984582154544248,0.3540984582154544188,0.3540984582154544188,0.9114329314787716478,0.9114329314787716438,0.9114329314787716438,0.9114329314787716478,0.9114329314787716428,0.9114329314787716628,5.3434553592306056668,5.3434553592306056568,5.3434553592306056568,5.3434553592306056458,5.3434553592306056458,5.3434553592306056628,5.3434553592306056458,5.3434553592306056458,5.3434553592306056558,5.3434553592306056458,5.3434553592306056468,5.3434553592306056468,5.3434553592306056618,5.3434553592306056618,5.3434553592306056518,5.3434553592306056518,5.3434553592306056378,5.3434553592306056628,5.6293975389199440228,5.6293975389199440228,5.6293975389199440258,5.6293975389199440298,5.6293975389199440298,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440218,5.6293975389199440418,5.6293975389199440318,5.6293975389199440318,5.6293975389199440228,5.6293975389199440228,5.6293975389199440328,5.6293975389199440228,5.6293975389199440228,
'MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS',0.3447134021259097148,0.3447134021259097148,0.3447134021259097198,0.3447134021259097188,0.3447134021259096988,0.3447134021259096988,0.3447134021259096988,0,0.24859597365415254,0.354098458215454426,0.354098458215454420,0.354098458215454420,0.911432931478771649,0.911432931478771645,0.911432931478771645,0.911432931478771649,0.911432931478771644,0.911432931478771664,5.343455359230605668,5.343455359230605658,5.343455359230605658,5.343455359230605647,5.343455359230605647,5.343455359230605664,5.343455359230605647,5.343455359230605647,5.343455359230605657,5.343455359230605647,5.343455359230605648,5.343455359230605648,5.343455359230605663,5.343455359230605663,5.343455359230605653,5.343455359230605653,5.343455359230605639,5.343455359230605664,5.629397538919944024,5.629397538919944024,5.629397538919944027,5.629397538919944031,5.629397538919944031,5.629397538919944023,5.629397538919944023,5.629397538919944023,5.629397538919944023,5.629397538919944023,5.629397538919944043,5.629397538919944033,5.629397538919944033,5.629397538919944024,5.629397538919944024,5.629397538919944034,5.629397538919944024,5.629397538919944024,
'MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS',0.3447134021259097148,0.3447134021259097148,0.3447134021259097198,0.3447134021259097188,0.3447134021259096988,0.3447134021259096988,0.3447134021259096988,0.24859597365415254,0,0.354098458215454426,0.354098458215454420,0.354098458215454420,0.911432931478771649,0.911432931478771645,0.911432931478771645,0.911432931478771649,0.911432931478771644,0.911432931478771664,5.343455359230605668,5.343455359230605658,5.343455359230605658,5.343455359230605647,5.343455359230605647,5.343455359230605664,5.343455359230605647,5.343455359230605647,5.343455359230605657,5.343455359230605647,5.343455359230605648,5.343455359230605648,5.343455359230605663,5.343455359230605663,5.343455359230605653,5.343455359230605653,5.343455359230605639,5.343455359230605664,5.629397538919944024,5.629397538919944024,5.629397538919944027,5.629397538919944031,5.629397538919944031,5.629397538919944023,5.629397538919944023,5.629397538919944023,5.629397538919944023,5.629397538919944023,5.629397538919944043,5.629397538919944033,5.629397538919944033,5.629397538919944024,5.629397538919944024,5.629397538919944034,5.629397538919944024,5.629397538919944024,
'MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS',0.3540984582154544408,0.3540984582154544408,0.3540984582154544458,0.3540984582154544448,0.3540984582154544248,0.3540984582154544248,0.3540984582154544248,0.354098458215454426,0.354098458215454426,0,0.313720459916492834,0.313720459916492834,0.911432931478771667,0.911432931478771663,0.911432931478771663,0.911432931478771667,0.911432931478771662,0.911432931478771682,5.343455359230605686,5.343455359230605676,5.343455359230605676,5.343455359230605665,5.343455359230605665,5.343455359230605682,5.343455359230605665,5.343455359230605665,5.343455359230605675,5.343455359230605665,5.343455359230605666,5.343455359230605666,5.343455359230605681,5.343455359230605681,5.343455359230605671,5.343455359230605671,5.343455359230605657,5.343455359230605682,5.629397538919944042,5.629397538919944042,5.629397538919944045,5.629397538919944049,5.629397538919944049,5.629397538919944041,5.629397538919944041,5.629397538919944041,5.629397538919944041,5.629397538919944041,5.629397538919944061,5.629397538919944051,5.629397538919944051,5.629397538919944042,5.629397538919944042,5.629397538919944052,5.629397538919944042,5.629397538919944042,
