,'MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW','MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW','MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW','MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW','MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW','MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW','MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW','MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW','MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW','MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW','MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW','MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW','MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW','MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW','MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW','MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW','MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW','MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW','MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE','MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE','MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE','MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE','MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE','MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE','MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE','MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE','MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE','MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE','MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE','MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE','MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE','MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE','MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE','MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE','MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE','MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE','MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS','MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS','MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS','MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS','MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS','MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS','MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS','MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS','MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS','MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS','MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS','MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS','MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS','MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS','MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS','MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS','MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS','MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS',Evi_ref
'MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW',0,0.0056199779999999977,0.0034101319999999962,0.0034076601000000011,0.0061952099999999926,0.0047002990000000050,0.0089151067999999889,0.0089337329999999993,0.0089511589999999864,0.0089652159999999981,0.0089560619999999869,0.0103902229999999902,0.0137600660000000014,0.0124307949999999945,0.0124443050000000028,0.0176973210000000018,0.0177059339999999925,0.0138061190000000058,0.1103173739999999933,0.1141308339999999978,0.1123111529999999943,0.1119124569999999903,0.1089470849999999963,0.1101498199999999928,0.1103760489999999873,0.1124043099999999907,0.1138150599999999929,0.1089699649999999993,0.1120440649999999953,0.1133220629999999983,0.1109274509999999937,0.1124610139999999953,0.1103436059999999943,0.1102876169999999879,0.1050020579999999923,0.1053983239999999983,0.1009646609999999521,0.1008742531999999546,0.1038772279999999573,0.1009542939999999687,0.1024040689999999553,0.1065658469999999603,0.1075526679999999863,0.1075580379999999909,0.1091067149999999893,0.1075457449999999943,0.1075571269999999985,0.1075382469999999996,0.1075654679999999936,0.1075106351999999783,0.1075197823999999819,0.1075427329999999976,0.1075806209999999836,0.1075437109999999825,0.1256212949999999983,
'MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW',0.0056199779999999977,0,0.0041546999999999973,0.0041522281000000022,0.0069397779999999937,0.0054448670000000061,0.0096596747999999900,0.0096783010000000004,0.0096957269999999875,0.0097097839999999992,0.0097006299999999880,0.0111347909999999913,0.0145046340000000025,0.0131753629999999956,0.0131888730000000039,0.0184418890000000029,0.0184505019999999936,0.0145506870000000069,0.1110619419999999944,0.1148754019999999989,0.1130557209999999954,0.1126570249999999914,0.1096916529999999974,0.1108943879999999939,0.1111206169999999884,0.1131488779999999918,0.1145596279999999940,0.1097145330000000004,0.1127886329999999964,0.1140666309999999994,0.1116720189999999948,0.1132055819999999964,0.1110881739999999954,0.1110321849999999890,0.1057466259999999934,0.1061428919999999994,0.1017092289999999532,0.1016188211999999557,0.1046217959999999584,0.1016988619999999698,0.1031486369999999564,0.1073104149999999614,0.1082972359999999874,0.1083026059999999920,0.1098512829999999904,0.1082903129999999954,0.1083016949999999996,0.1082828150000000007,0.1083100359999999947,0.1082552031999999794,0.1082643503999999830,0.1082873009999999987,0.1083251889999999847,0.1082882789999999836,0.1263658629999999994,
'MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW',0.0034101319999999962,0.0041546999999999973,0,0.0019423821000000007,0.0047299319999999922,0.0032350210000000046,0.0074498287999999885,0.0074684549999999989,0.0074858809999999860,0.0074999379999999977,0.0074907839999999865,0.0089249449999999898,0.0122947880000000010,0.0109655169999999941,0.0109790270000000024,0.0162320430000000014,0.0162406559999999921,0.0123408410000000054,0.1088520959999999929,0.1126655559999999974,0.1108458749999999939,0.1104471789999999899,0.1074818069999999959,0.1086845419999999924,0.1089107709999999869,0.1109390319999999903,0.1123497819999999925,0.1075046869999999989,0.1105787869999999949,0.1118567849999999979,0.1094621729999999933,0.1109957359999999949,0.1088783279999999939,0.1088223389999999875,0.1035367799999999919,0.1039330459999999979,0.0994993829999999517,0.0994089751999999542,0.1024119499999999569,0.0994890159999999683,0.1009387909999999549,0.1051005689999999599,0.1060873899999999859,0.1060927599999999905,0.1076414369999999889,0.1060804669999999939,0.1060918489999999981,0.1060729689999999992,0.1061001899999999932,0.1060453571999999779,0.1060545043999999815,0.1060774549999999972,0.1061153429999999832,0.1060784329999999821,0.1241560169999999979,
'MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW',0.0034076601000000011,0.0041522281000000022,0.0019423821000000007,0,0.0047274600999999971,0.0032325491000000095,0.0074473568999999934,0.0074659831000000038,0.0074834090999999909,0.0074974661000000026,0.0074883120999999914,0.0089224730999999947,0.0122923161000000059,0.0109630450999999990,0.0109765551000000073,0.0162295711000000063,0.0162381840999999970,0.0123383691000000103,0.1088496240999999978,0.1126630841000000023,0.1108434030999999988,0.1104447070999999948,0.1074793351000000008,0.1086820700999999973,0.1089082990999999918,0.1109365600999999952,0.1123473100999999974,0.1075022151000000038,0.1105763150999999998,0.1118543131000000028,0.1094597010999999982,0.1109932640999999998,0.1088758560999999988,0.1088198670999999924,0.1035343080999999968,0.1039305741000000028,0.0994969110999999566,0.0994065032999999591,0.1024094780999999618,0.0994865440999999732,0.1009363190999999598,0.1050980970999999648,0.1060849180999999908,0.1060902880999999954,0.1076389650999999938,0.1060779950999999988,0.1060893771000000030,0.1060704971000000041,0.1060977180999999981,0.1060428852999999828,0.1060520324999999864,0.1060749831000000021,0.1061128710999999881,0.1060759610999999870,0.1241535451000000028,
'MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW',0.0061952099999999926,0.0069397779999999937,0.0047299319999999922,0.0047274600999999971,0,0.0060200990000000010,0.0102349067999999849,0.0102535329999999953,0.0102709589999999824,0.0102850159999999941,0.0102758619999999829,0.0117100229999999862,0.0150798659999999974,0.0137505949999999905,0.0137641049999999988,0.0190171209999999978,0.0190257339999999885,0.0151259190000000018,0.1116371739999999893,0.1154506339999999938,0.1136309529999999903,0.1132322569999999863,0.1102668849999999923,0.1114696199999999888,0.1116958489999999833,0.1137241099999999867,0.1151348599999999889,0.1102897649999999953,0.1133638649999999913,0.1146418629999999943,0.1122472509999999897,0.1137808139999999913,0.1116634059999999903,0.1116074169999999839,0.1063218579999999883,0.1067181239999999943,0.1022844609999999481,0.1021940531999999506,0.1051970279999999533,0.1022740939999999647,0.1037238689999999513,0.1078856469999999563,0.1088724679999999823,0.1088778379999999869,0.1104265149999999853,0.1088655449999999903,0.1088769269999999945,0.1088580469999999956,0.1088852679999999896,0.1088304351999999743,0.1088395823999999779,0.1088625329999999936,0.1089004209999999796,0.1088635109999999785,0.1269410949999999943,
'MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW',0.0047002990000000050,0.0054448670000000061,0.0032350210000000046,0.0032325491000000095,0.0060200990000000010,0,0.0087399957999999973,0.0087586220000000077,0.0087760479999999948,0.0087901050000000065,0.0087809509999999953,0.0102151119999999986,0.0135849550000000098,0.0122556840000000029,0.0122691940000000112,0.0175222100000000102,0.0175308230000000009,0.0136310080000000142,0.1101422630000000017,0.1139557230000000062,0.1121360420000000027,0.1117373459999999987,0.1087719740000000047,0.1099747090000000012,0.1102009379999999957,0.1122291989999999991,0.1136399490000000013,0.1087948540000000077,0.1118689540000000037,0.1131469520000000067,0.1107523400000000021,0.1122859030000000037,0.1101684950000000027,0.1101125059999999963,0.1048269470000000007,0.1052232130000000067,0.1007895499999999605,0.1006991421999999630,0.1037021169999999657,0.1007791829999999771,0.1022289579999999637,0.1063907359999999687,0.1073775569999999947,0.1073829269999999993,0.1089316039999999977,0.1073706340000000027,0.1073820160000000069,0.1073631360000000080,0.1073903570000000020,0.1073355241999999867,0.1073446713999999903,0.1073676220000000060,0.1074055099999999920,0.1073685999999999909,0.1254461840000000067,
'MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW',0.0089151067999999889,0.0096596747999999900,0.0074498287999999885,0.0074473568999999934,0.0102349067999999849,0.0087399957999999973,0,0.0019956958000000024,0.0020131217999999895,0.0020271788000000012,0.002018024799999990,0.0034521857999999933,0.0119085787999999997,0.0105793077999999928,0.0105928178000000011,0.0158458338000000001,0.0158544467999999908,0.0119546318000000041,0.1143570707999999856,0.1181705307999999901,0.1163508497999999866,0.1159521537999999826,0.1129867817999999886,0.1141895167999999851,0.1144157457999999796,0.1164440067999999830,0.1178547567999999852,0.1130096617999999916,0.1160837617999999876,0.1173617597999999906,0.1149671477999999860,0.1165007107999999876,0.1143833027999999866,0.1143273137999999802,0.1090417547999999846,0.1094380207999999906,0.1050043577999999444,0.1049139499999999469,0.1079169247999999496,0.1049939907999999610,0.1064437657999999476,0.1106055437999999526,0.1115923647999999786,0.1115977347999999832,0.1131464117999999816,0.1115854417999999866,0.1115968237999999908,0.1115779437999999919,0.1116051647999999859,0.1115503319999999706,0.1115594791999999742,0.1115824297999999899,0.1116203177999999759,0.1115834077999999748,0.1296609917999999906,
'MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW',0.0089337329999999993,0.0096783010000000004,0.0074684549999999989,0.0074659831000000038,0.0102535329999999953,0.0087586220000000077,0.0019956958000000024,0,0.0020317479999999999,0.0020458050000000116,0.0020366510000000004,0.0034708120000000037,0.0119272050000000101,0.0105979340000000032,0.0106114440000000115,0.0158644600000000105,0.0158730730000000012,0.0119732580000000145,0.1143756969999999960,0.1181891570000000005,0.1163694759999999970,0.1159707799999999930,0.1130054079999999990,0.1142081429999999955,0.1144343719999999900,0.1164626329999999934,0.1178733829999999956,0.1130282880000000020,0.1161023879999999980,0.1173803860000000010,0.1149857739999999964,0.1165193369999999980,0.1144019289999999970,0.1143459399999999906,0.1090603809999999950,0.1094566470000000010,0.1050229839999999548,0.1049325761999999573,0.1079355509999999600,0.1050126169999999714,0.1064623919999999580,0.1106241699999999630,0.1116109909999999890,0.1116163609999999936,0.1131650379999999920,0.1116040679999999970,0.1116154500000000012,0.1115965700000000023,0.1116237909999999963,0.1115689581999999810,0.1115781053999999846,0.1116010560000000003,0.1116389439999999863,0.1116020339999999852,0.1296796180000000010,
'MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW',0.0089511589999999864,0.0096957269999999875,0.0074858809999999860,0.0074834090999999909,0.0102709589999999824,0.0087760479999999948,0.0020131217999999895,0.0020317479999999999,0,0.0020632309999999987,0.0020540769999999875,0.0034882379999999908,0.0119446309999999972,0.0106153599999999903,0.0106288699999999986,0.0158818859999999976,0.0158904989999999883,0.0119906840000000016,0.1143931229999999831,0.1182065829999999876,0.1163869019999999841,0.1159882059999999801,0.1130228339999999861,0.1142255689999999826,0.1144517979999999771,0.1164800589999999805,0.1178908089999999827,0.1130457139999999891,0.1161198139999999851,0.1173978119999999881,0.1150031999999999835,0.1165367629999999851,0.1144193549999999841,0.1143633659999999777,0.1090778069999999821,0.1094740729999999881,0.1050404099999999419,0.1049500021999999444,0.1079529769999999471,0.1050300429999999585,0.1064798179999999451,0.1106415959999999501,0.1116284169999999761,0.1116337869999999807,0.1131824639999999791,0.1116214939999999841,0.1116328759999999883,0.1116139959999999894,0.1116412169999999834,0.1115863841999999681,0.1115955313999999717,0.1116184819999999874,0.1116563699999999734,0.1116194599999999723,0.1296970439999999881,
'MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW',0.0089652159999999981,0.0097097839999999992,0.0074999379999999977,0.0074974661000000026,0.0102850159999999941,0.0087901050000000065,0.0020271788000000012,0.0020458050000000116,0.0020632309999999987,0,0.0020681339999999992,0.0035022950000000025,0.0119586880000000089,0.0106294170000000020,0.0106429270000000103,0.0158959430000000093,0.0159045560000000000,0.0120047410000000133,0.1144071799999999948,0.1182206399999999993,0.1164009589999999958,0.1160022629999999918,0.1130368909999999978,0.1142396259999999943,0.1144658549999999888,0.1164941159999999922,0.1179048659999999944,0.1130597710000000008,0.1161338709999999968,0.1174118689999999998,0.1150172569999999952,0.1165508199999999968,0.1144334119999999958,0.1143774229999999894,0.1090918639999999938,0.1094881299999999998,0.1050544669999999536,0.1049640591999999561,0.1079670339999999588,0.1050440999999999702,0.1064938749999999568,0.1106556529999999618,0.1116424739999999878,0.1116478439999999924,0.1131965209999999908,0.1116355509999999958,0.1116469330000000000,0.1116280530000000011,0.1116552739999999951,0.1116004411999999798,0.1116095883999999834,0.1116325389999999991,0.1116704269999999851,0.1116335169999999840,0.1297111009999999998,
