,MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS,MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE,MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW
MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,0.0084566596,0.0084566596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,0.0020876827,0.0020876827,0.0106157113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,0.0084566596,0.0084566596,0.0000000000,0.0106157113,0.0084566596,0.0084566596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,0.0127459690,0.0127459690,0.0041819166,0.0149327302,0.0127459690,0.0127459690,0.0041819166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,0.0084566596,0.0084566596,0.0000000000,0.0106157113,0.0084566596,0.0084566596,0.0000000000,0.0041819166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,0.0000000000,0.0000000000,0.0084566596,0.0127459690,0.0084566596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,0.0106157113,0.0106157113,0.0020876827,0.0127931770,0.0106157113,0.0106157113,0.0020876827,0.0062959422,0.0020876827,0.0106157113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,0.0000000000,0.0000000000,0.0084566596,0.0127459690,0.0084566596,0.0000000000,0.0106157113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,0.0000000000,0.0000000000,0.0084566596,0.0127459690,0.0084566596,0.0000000000,0.0106157113,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,0.0000000000,0.0000000000,0.0084566596,0.0127459690,0.0084566596,0.0000000000,0.0106157113,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,0.0000000000,0.0000000000,0.0084566596,0.0127459690,0.0084566596,0.0000000000,0.0106157113,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,0.0148896130,0.0148896130,0.0084122255,0.0170857294,0.0148896130,0.0148896130,0.0084122255,0.0126917930,0.0084122255,0.0148896130,0.0105530957,0.0148896130,0.0148896130,0.0148896130,0.0148896130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,0.0000000000,0.0000000000,0.0084566596,0.0127459690,0.0084566596,0.0000000000,0.0106157113,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0148896130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,0.0000000000,0.0000000000,0.0084566596,0.0020876827,0.0000000000,0.0000000000,0.0084566596,0.0127459690,0.0084566596,0.0000000000,0.0106157113,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0148896130,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE,0.1125444208,0.1125444208,0.1185570711,0.1155357143,0.1125444208,0.1125444208,0.1185570711,0.1152031621,0.1185570711,0.1125444208,0.1185570711,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1178797118,0.1125444208,0.1125444208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,0.1155357143,0.1155357143,0.1216089466,0.1185570711,0.1155357143,0.1155357143,0.1216089466,0.1243132981,0.1216089466,0.1155357143,0.1216089466,0.1155357143,0.1155357143,0.1155357143,0.1155357143,0.1209010685,0.1155357143,0.1155357143,0.0106157113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,0.1125444208,0.1125444208,0.1185570711,0.1155357143,0.1125444208,0.1125444208,0.1185570711,0.1152031621,0.1185570711,0.1125444208,0.1185570711,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1178797118,0.1125444208,0.1125444208,0.0084566596,0.0149892934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,0.1155357143,0.1155357143,0.1216089466,0.1185570711,0.1155357143,0.1155357143,0.1216089466,0.1182094309,0.1216089466,0.1155357143,0.1216089466,0.1155357143,0.1155357143,0.1155357143,0.1155357143,0.1209010685,0.1155357143,0.1155357143,0.0063157895,0.0127931770,0.0106157113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,0.1095827440,0.1095827440,0.1155357143,0.1125444208,0.1095827440,0.1095827440,0.1155357143,0.1122267322,0.1155357143,0.1095827440,0.1155357143,0.1095827440,0.1095827440,0.1095827440,0.1095827440,0.1148884182,0.1095827440,0.1095827440,0.0020876827,0.0084566596,0.0063157895,0.0041928721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,0.1125444208,0.1125444208,0.1185570711,0.1155357143,0.1125444208,0.1125444208,0.1185570711,0.1152031621,0.1185570711,0.1125444208,0.1185570711,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1178797118,0.1125444208,0.1125444208,0.0063157895,0.0127931770,0.0106157113,0.0084566596,0.0041928721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,0.1185570711,0.1185570711,0.1125444208,0.1216089466,0.1185570711,0.1185570711,0.1125444208,0.1122267322,0.1125444208,0.1185570711,0.1125444208,0.1185570711,0.1185570711,0.1185570711,0.1185570711,0.1148884182,0.1185570711,0.1185570711,0.0332594235,0.0404494382,0.0332594235,0.0356347439,0.0309050773,0.0309050773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,0.1125444208,0.1125444208,0.1125444208,0.1155357143,0.1125444208,0.1125444208,0.1125444208,0.1092796991,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1119267415,0.1125444208,0.1125444208,0.0041928721,0.0106157113,0.0084566596,0.0063157895,0.0020876827,0.0063157895,0.0332594235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,0.1185570711,0.1185570711,0.1125444208,0.1216089466,0.1185570711,0.1185570711,0.1125444208,0.1122267322,0.1125444208,0.1185570711,0.1125444208,0.1185570711,0.1185570711,0.1185570711,0.1185570711,0.1148884182,0.1185570711,0.1185570711,0.0356347439,0.0428893905,0.0356347439,0.0380313199,0.0332594235,0.0332594235,0.0106157113,0.0356347439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,0.1095827440,0.1095827440,0.1155357143,0.1125444208,0.1095827440,0.1095827440,0.1155357143,0.1122267322,0.1155357143,0.1095827440,0.1155357143,0.1095827440,0.1095827440,0.1095827440,0.1095827440,0.1148884182,0.1095827440,0.1095827440,0.0063157895,0.0127931770,0.0106157113,0.0084566596,0.0041928721,0.0084566596,0.0356347439,0.0063157895,0.0380313199,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,0.1125444208,0.1125444208,0.1185570711,0.1095827440,0.1125444208,0.1125444208,0.1185570711,0.1152031621,0.1185570711,0.1125444208,0.1185570711,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1178797118,0.1125444208,0.1125444208,0.0084566596,0.0149892934,0.0127931770,0.0106157113,0.0063157895,0.0106157113,0.0380313199,0.0084566596,0.0404494382,0.0020876827,,,,,,,,,,,,,,,,,,,,,,,,,,
MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,0.1095827440,0.1095827440,0.1155357143,0.1125444208,0.1095827440,0.1095827440,0.1155357143,0.1122267322,0.1155357143,0.1095827440,0.1155357143,0.1095827440,0.1095827440,0.1095827440,0.1095827440,0.1148884182,0.1095827440,0.1095827440,0.0041928721,0.0106157113,0.0084566596,0.0063157895,0.0020876827,0.0020876827,0.0332594235,0.0041928721,0.0356347439,0.0063157895,0.0084566596,,,,,,,,,,,,,,,,,,,,,,,,,
MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,0.1125444208,0.1125444208,0.1185570711,0.1155357143,0.1125444208,0.1125444208,0.1185570711,0.1152031621,0.1185570711,0.1125444208,0.1185570711,0.1125444208,0.1125444208,0.1125444208,0.1125444208,0.1178797118,0.1125444208,0.1125444208,0.0084566596,0.0106157113,0.0127931770,0.0106157113,0.0063157895,0.0106157113,0.0332594235,0.0084566596,0.0356347439,0.0063157895,0.0084566596,0.0084566596,,,,,,,,,,,,,,,,,,,,,,,,
MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,0.1148884182,0.1148884182,0.1209010685,0.1178797118,0.1148884182,0.1148884182,0.1209010685,0.1175679954,0.1209010685,0.1148884182,0.1209010685,0.1148884182,0.1148884182,0.1148884182,0.1148884182,0.1202656600,0.1148884182,0.1148884182,0.0105530957,0.0170857294,0.0148896130,0.0127121473,0.0084122255,0.0084122255,0.0401277560,0.0105530957,0.0425458743,0.0127121473,0.0148896130,0.0062893082,0.0148896130,,,,,,,,,,,,,,,,,,,,,,,
MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,0.1066502463,0.1066502463,0.1125444208,0.1095827440,0.1066502463,0.1066502463,0.1125444208,0.1092796991,0.1125444208,0.1066502463,0.1125444208,0.1066502463,0.1066502463,0.1066502463,0.1066502463,0.1119267415,0.1066502463,0.1066502463,0.0063157895,0.0127931770,0.0063157895,0.0084566596,0.0041928721,0.0084566596,0.0309050773,0.0063157895,0.0332594235,0.0084566596,0.0106157113,0.0063157895,0.0106157113,0.0127121473,,,,,,,,,,,,,,,,,,,,,,
