,MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW,MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS
MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,0,0.000002018,0.0091468784,0.0091468784,0.0091468784,0.0136609768,0.0113660254,0.0183335068,0.2197210419,0.2219033538,0.2240477139,0.2197274272,0.2175876657,0.2263062252,0.2241142397,0.2218807190,0.2241339838,0.2219146776,0.2220515403,0.2154500510,0.2175842397,0.2219614277,0.2133213125,0.1882558888,0.1769275658,0.1944320924,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1986699175,0.2031063691,0.2074149316,0.2074149316,0.2010241618,0.2010241618,0.2031110993,0.1923144811,0.1923144811,0.1944292090,0.1965676454,0.1880500666,0.0022369295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,0.000002018,0,0.0091468784,0.0091468784,0.0091468784,0.0136609768,0.0113660254,0.0183335068,0.2197210419,0.2219033538,0.2240477139,0.2197274272,0.2175876657,0.2263062252,0.2241142397,0.2218807190,0.2241339838,0.2219146776,0.2220515403,0.2154500510,0.2175842397,0.2219614277,0.2133213125,0.1882558888,0.1769275658,0.1944320924,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1986699175,0.2031063691,0.2074149316,0.2074149316,0.2010241618,0.2010241618,0.2031110993,0.1923144811,0.1923144811,0.1944292090,0.1965676454,0.1880500666,0.0022369295,0.000002018,0.000002018,0.000002018,0.000002018,0.000002018,0.000002018,0.000002018,0.000002018,0.000002018,
MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,0.0091468784,0.0091468784,0,0.0,0.000002018,0.0045181344,0.002223183,0.0091926824,0.2105802175,0.2127625294,0.2149068895,0.2105866028,0.2084468413,0.2171654008,0.2149734153,0.2127398946,0.2149931594,0.2127738532,0.2129107159,0.2063092266,0.2084434153,0.2128206033,0.2041804881,0.1791150644,0.1677867414,0.1852912680,0.1874238955,0.1874238955,0.1874238955,0.1874238955,0.1874238955,0.1895290931,0.1939655447,0.1982741072,0.1982741072,0.1918833374,0.1918833374,0.1939702749,0.1831736567,0.1831736567,0.1852883846,0.1874268210,0.1789092422,0.0113797719,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,
MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,0.0091468784,0.0091468784,0.0,0,0.000002018,0.0045181344,0.002223183,0.0091926824,0.2105802175,0.2127625294,0.2149068895,0.2105866028,0.2084468413,0.2171654008,0.2149734153,0.2127398946,0.2149931594,0.2127738532,0.2129107159,0.2063092266,0.2084434153,0.2128206033,0.2041804881,0.1791150644,0.1677867414,0.1852912680,0.1874238955,0.1874238955,0.1874238955,0.1874238955,0.1874238955,0.1895290931,0.1939655447,0.1982741072,0.1982741072,0.1918833374,0.1918833374,0.1939702749,0.1831736567,0.1831736567,0.1852883846,0.1874268210,0.1789092422,0.0113797719,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,
MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,0.0091468784,0.0091468784,0.000002018,0.000002018,0,0.0045181344,0.002223183,0.0091926824,0.2105802175,0.2127625294,0.2149068895,0.2105866028,0.2084468413,0.2171654008,0.2149734153,0.2127398946,0.2149931594,0.2127738532,0.2129107159,0.2063092266,0.2084434153,0.2128206033,0.2041804881,0.1791150644,0.1677867414,0.1852912680,0.1874238955,0.1874238955,0.1874238955,0.1874238955,0.1874238955,0.1895290931,0.1939655447,0.1982741072,0.1982741072,0.1918833374,0.1918833374,0.1939702749,0.1831736567,0.1831736567,0.1852883846,0.1874268210,0.1789092422,0.0113797719,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,0.0091468784,
MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,0.0136609768,0.0136609768,0.0045181344,0.0045181344,0.0045181344,0,0.0067352634,0.0137067808,0.2150943159,0.2172766278,0.2194209879,0.2151007012,0.2129609397,0.2216794992,0.2194875137,0.2172539930,0.2195072578,0.2172879516,0.2174248143,0.2108233250,0.2129575137,0.2173347017,0.2086945865,0.1836291628,0.1723008398,0.1898053664,0.1919379939,0.1919379939,0.1919379939,0.1919379939,0.1919379939,0.1940431915,0.1984796431,0.2027882056,0.2027882056,0.1963974358,0.1963974358,0.1984843733,0.1876877551,0.1876877551,0.1898024830,0.1919409194,0.1834233406,0.0158938703,0.0136609768,0.0136609768,0.0136609768,0.0136609768,0.0136609768,0.0136609768,0.0136609768,0.0136609768,0.0136609768,
MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,0.0113660254,0.0113660254,0.002223183,0.002223183,0.002223183,0.0067352634,0,0.0114118294,0.2127993645,0.2149816764,0.2171260365,0.2128057498,0.2106659883,0.2193845478,0.2171925623,0.2149590416,0.2172123064,0.2149930002,0.2151298629,0.2085283736,0.2106625623,0.2150397503,0.2063996351,0.1813342114,0.1700058884,0.1875104150,0.1896430425,0.1896430425,0.1896430425,0.1896430425,0.1896430425,0.1917482401,0.1961846917,0.2004932542,0.2004932542,0.1941024844,0.1941024844,0.1961894219,0.1853928037,0.1853928037,0.1875075316,0.1896459680,0.1811283892,0.0135989189,0.0113660254,0.0113660254,0.0113660254,0.0113660254,0.0113660254,0.0113660254,0.0113660254,0.0113660254,0.0113660254,
MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,0.0183335068,0.0183335068,0.0091926824,0.0091926824,0.0091926824,0.0137067808,0.0114118294,0,0.2159957251,0.2181780370,0.2203223971,0.2160021104,0.2138623489,0.2225809084,0.2203889229,0.2181554022,0.2204086670,0.2181893608,0.2183262235,0.2117247342,0.2138589229,0.2182361109,0.2095959957,0.1845305720,0.1732022490,0.1907067756,0.1928394031,0.1928394031,0.1928394031,0.1928394031,0.1928394031,0.1949446007,0.1993810523,0.2036896148,0.2036896148,0.1972988450,0.1972988450,0.1993857825,0.1885891643,0.1885891643,0.1907038922,0.1928423286,0.1843247498,0.0205664003,0.0183335068,0.0183335068,0.0183335068,0.0183335068,0.0183335068,0.0183335068,0.0183335068,0.0183335068,0.0183335068,
MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,0.2197210419,0.2197210419,0.2105802175,0.2105802175,0.2105802175,0.2150943159,0.2127993645,0.2159957251,0,0.0064450283,0.0085893884,0.0042731377,0.0021353942,0.0108559717,0.0086639862,0.0064304655,0.0086857483,0.0064664421,0.0108724802,0.0042730089,0.0064092156,0.0107884216,0.0064038254,0.0402483739,0.0427981429,0.2204038719,0.2225364994,0.2225364994,0.2225364994,0.2225364994,0.2225364994,0.2246416970,0.2290781486,0.2333867111,0.2333867111,0.2269959413,0.2269959413,0.2290828788,0.2182862606,0.2182862606,0.2204009885,0.2225394249,0.2140218461,0.2219539354,0.2197210419,0.2197210419,0.2197210419,0.2197210419,0.2197210419,0.2197210419,0.2197210419,0.2197210419,0.2197210419,
MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,0.2219033538,0.2219033538,0.2127625294,0.2127625294,0.2127625294,0.2172766278,0.2149816764,0.2181780370,0.0064450283,0,0.0021463781,0.0064554496,0.0043177061,0.0130382836,0.0108462981,0.0086127774,0.0108680602,0.0086487540,0.0130547921,0.0064553208,0.0085915275,0.0129707335,0.0085861373,0.0424306858,0.0449804548,0.2225861838,0.2247188113,0.2247188113,0.2247188113,0.2247188113,0.2247188113,0.2268240089,0.2312604605,0.2355690230,0.2355690230,0.2291782532,0.2291782532,0.2312651907,0.2204685725,0.2204685725,0.2225833004,0.2247217368,0.2162041580,0.2241362473,0.2219033538,0.2219033538,0.2219033538,0.2219033538,0.2219033538,0.2219033538,0.2219033538,0.2219033538,0.2219033538,
