,MK887363_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,MK887364_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,MK887366_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,MK887367_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,MK887368_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,MK887446_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,MK887448_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS,MK887511_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,MK887512_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,MK887513_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,MK887515_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,MK887516_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,MK887365_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,MK887443_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,MK887444_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,MK887445_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,MK887447_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,MK887514_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,MK887559_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE,MK887560_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,MK887561_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,MK887562_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,MK887563_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,MK887564_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,MK887428_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,MK887430_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,MK887431_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,MK887432_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,MK887545_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,MK887546_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,MK887547_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,MK887548_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,MK887549_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,MK887550_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,MK887427_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,MK887429_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,MK887455_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,MK887456_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,MK887457_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,MK887458_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,MK887459_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,MK887460_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,MK887416_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,MK887417_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,MK887418_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,MK887419_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,MK887420_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,MK887421_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,MK887374_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,MK887375_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,MK887378_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,MK887379_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,MK887381_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW,MK887380_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW
MK887363_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,0,0.0018481154,0.0032072799,0.0017957485,0.0017512553,0.0018317678,0.0018432823,0.0018006467,0.0018091109,0.0018337612,0.0018569920,0.0017919386,0.0076898480,0.0076478643,0.0104109419,0.0076971732,0.0089387069,0.0125866039,0.0962967959,0.0996928989,0.0981568519,0.0976141139,0.0951240198,0.0962857729,0.0964263409,0.0981467379,0.0993665009,0.0950119254,0.0976188679,0.0991353929,0.0968227859,0.0980588619,0.0964028749,0.0963918889,0.0830296259,0.0795490999,0.0846103589,0.0854551449,0.0832621695,0.0832985722,0.0859045119,0.0843721789,0.0881713250,0.0882160546,0.0881419392,0.0881996625,0.0882096839,0.0894239749,0.0924566939,0.0912790094,0.0912687551,0.0959010306,0.0959738109,0.0926902499
MK887364_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,0.0018481154,0,0.0032624115,0.0018508801,0.0018063869,0.0018868994,0.0018984139,0.0018557783,0.0018642425,0.0018888928,0.0019121236,0.0018470702,0.0077449796,0.0077029959,0.0104660735,0.0077523048,0.0089938385,0.0126417355,0.0963519275,0.0997480305,0.0982119835,0.0976692455,0.0951791514,0.0963409045,0.0964814725,0.0982018695,0.0994216325,0.0950670570,0.0976739995,0.0991905245,0.0968779175,0.0981139935,0.0964580065,0.0964470205,0.0830847575,0.0796042315,0.0846654905,0.0855102765,0.0833173011,0.0833537038,0.0859596435,0.0844273105,0.0882264566,0.0882711862,0.0881970708,0.0882547941,0.0882648155,0.0894791065,0.0925118255,0.0913341410,0.0913238867,0.0959561622,0.0960289425,0.0927453815
MK887366_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,0.0032072799,0.0032624115,0,0.0032100446,0.0031655514,0.0032460639,0.0032575784,0.0032149428,0.003223407,0.0032480573,0.0032712881,0.0032062347,0.0091041441,0.0090621604,0.011825238,0.0091114693,0.010353003,0.014000900,0.097711092,0.101107195,0.099571148,0.099028410,0.0965383159,0.097700069,0.097840637,0.099561034,0.100780797,0.0964262215,0.099033164,0.100549689,0.098237082,0.099473158,0.097817171,0.097806185,0.084443922,0.080963396,0.086024655,0.086869441,0.0846764656,0.0847128683,0.087318808,0.085786475,0.0895856211,0.0896303507,0.0895562353,0.0896139586,0.089623980,0.090838271,0.093870990,0.0926933055,0.0926830512,0.0973153267,0.097388107,0.094104546
MK887367_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,0.0017957485,0.0018508801,0.0032100446,0,0.0017540200,0.0018345325,0.0018460470,0.0018034114,0.0018118756,0.0018365259,0.0018597567,0.0017947033,0.0076926127,0.0076506290,0.0104137066,0.0076999379,0.0089414716,0.0125893686,0.0962995606,0.0996956636,0.0981596166,0.0976168786,0.0951267845,0.0962885376,0.0964291056,0.0981495026,0.0993692656,0.0950146901,0.0976216326,0.0991381576,0.0968255506,0.0980616266,0.0964056396,0.0963946536,0.0830323906,0.0795518646,0.0846131236,0.0854579096,0.0832649342,0.0833013369,0.0859072766,0.0843749436,0.0881740897,0.0882188193,0.0881447039,0.0882024272,0.0882124486,0.0894267396,0.0924594586,0.0912817741,0.0912715198,0.0959037953,0.0959765756,0.0926930146
MK887368_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,0.0017512553,0.0018063869,0.0031655514,0.0017540200,0,0.0017900393,0.0018015538,0.0017589182,0.0017673824,0.0017920327,0.0018152635,0.0017502101,0.0076481195,0.0076061358,0.0103692134,0.0076554447,0.0088969784,0.0125448754,0.0962550674,0.0996511704,0.0981151234,0.0975723854,0.0950822913,0.0962440444,0.0963846124,0.0981050094,0.0993247724,0.0949701969,0.0975771394,0.0990936644,0.0967810574,0.0980171334,0.0963611464,0.0963501604,0.0829878974,0.0795073714,0.0845686304,0.0854134164,0.0832204410,0.0832568437,0.0858627834,0.0843304504,0.0881295965,0.0881743261,0.0881002107,0.0881579340,0.0881679554,0.0893822464,0.0924149654,0.0912372809,0.0912270266,0.0958593021,0.0959320824,0.0926485214
MK887446_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,0.0018317678,0.0018868994,0.0032460639,0.0018345325,0.0017900393,0,0.0018820663,0.0018394307,0.0018478949,0.0018725452,0.0018957760,0.0018307226,0.0077286320,0.0076866483,0.0104497259,0.0077359572,0.0089774909,0.0126253879,0.0963355799,0.0997316829,0.0981956359,0.0976528979,0.0951628038,0.0963245569,0.0964651249,0.0981855219,0.0994052849,0.0950507094,0.0976576519,0.0991741769,0.0968615699,0.0980976459,0.0964416589,0.0964306729,0.0830684099,0.0795878839,0.0846491429,0.0854939289,0.0833009535,0.0833373562,0.0859432959,0.0844109629,0.0882101090,0.0882548386,0.0881807232,0.0882384465,0.0882484679,0.0894627589,0.0924954779,0.0913177934,0.0913075391,0.0959398146,0.0960125949,0.0927290339
MK887448_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS,0.0018432823,0.0018984139,0.0032575784,0.0018460470,0.0018015538,0.0018820663,0,0.0018509452,0.0018594094,0.0018840597,0.0019072905,0.0018422371,0.0077401465,0.0076981628,0.0104612404,0.0077474717,0.0089890054,0.0126369024,0.0963470944,0.0997431974,0.0982071504,0.0976644124,0.0951743183,0.0963360714,0.0964766394,0.0981970364,0.0994167994,0.0950622239,0.0976691664,0.0991856914,0.0968730844,0.0981091604,0.0964531734,0.0964421874,0.0830799244,0.0795993984,0.0846606574,0.0855054434,0.0833124680,0.0833488707,0.0859548104,0.0844224774,0.0882216235,0.0882663531,0.0881922377,0.0882499610,0.0882599824,0.0894742734,0.0925069924,0.0913293079,0.0913190536,0.0959513291,0.0960241094,0.0927405484
MK887511_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,0.0018006467,0.0018557783,0.0032149428,0.0018034114,0.0017589182,0.0018394307,0.0018509452,0,0.0018167738,0.0018414241,0.0018646549,0.0017996015,0.0076975109,0.0076555272,0.0104186048,0.0077048361,0.0089463698,0.0125942668,0.0963044588,0.0997005618,0.0981645148,0.0976217768,0.0951316827,0.0962934358,0.0964340038,0.0981544008,0.0993741638,0.0950195883,0.0976265308,0.0991430558,0.0968304488,0.0980665248,0.0964105378,0.0963995518,0.0830372888,0.0795567628,0.0846180218,0.0854628078,0.0832698324,0.0833062351,0.0859121748,0.0843798418,0.0881789879,0.0882237175,0.0881496021,0.0882073254,0.0882173468,0.0894316378,0.0924643568,0.0912866723,0.0912764180,0.0959086935,0.0959814738,0.0926979128
MK887512_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,0.0018091109,0.0018642425,0.003223407,0.0018118756,0.0017673824,0.0018478949,0.0018594094,0.0018167738,0,0.0018498883,0.0018731191,0.0018080657,0.0077059751,0.0076639914,0.010427069,0.0077133003,0.008954834,0.012602731,0.096312923,0.099709026,0.098172979,0.097630241,0.0951401469,0.096301900,0.096442468,0.098162865,0.099382628,0.0950280525,0.097634995,0.099151520,0.096838913,0.098074989,0.096419002,0.096408016,0.083045753,0.079565227,0.084626486,0.085471272,0.0832782966,0.0833146993,0.085920639,0.084388306,0.0881874521,0.0882321817,0.0881580663,0.0882157896,0.088225811,0.089440102,0.092472821,0.0912951365,0.0912848822,0.0959171577,0.095989938,0.092706377
MK887513_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,0.0018337612,0.0018888928,0.0032480573,0.0018365259,0.0017920327,0.0018725452,0.0018840597,0.0018414241,0.0018498883,0,0.0018977694,0.0018327160,0.0077306254,0.0076886417,0.0104517193,0.0077379506,0.0089794843,0.0126273813,0.0963375733,0.0997336763,0.0981976293,0.0976548913,0.0951647972,0.0963265503,0.0964671183,0.0981875153,0.0994072783,0.0950527028,0.0976596453,0.0991761703,0.0968635633,0.0980996393,0.0964436523,0.0964326663,0.0830704033,0.0795898773,0.0846511363,0.0854959223,0.0833029469,0.0833393496,0.0859452893,0.0844129563,0.0882121024,0.0882568320,0.0881827166,0.0882404399,0.0882504613,0.0894647523,0.0924974713,0.0913197868,0.0913095325,0.0959418080,0.0960145883,0.0927310273
