"V1","MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS","MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS","MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS","MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS","MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS","MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS","MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS","MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS","MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE","MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE","MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE","MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE","MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE","MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE","MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE","MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE","MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE","MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE","MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE","MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE","MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE","MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE","MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE","MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE","MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE","MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE","MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW","MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW","MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW","MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW","MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW","MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW","MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW","MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW","MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW","MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW","MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW","MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW","MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW","MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW","MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW"
"MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS",0,1e-06,0.0086889,0.002119,0.0086889,0.0133583,0.0109332,0.0157278,0.1703398,0.1759209,0.1703398,0.175997,0.1647507,0.1764715,0.1806699,0.1703398,0.1786428,0.1647507,0.1706227,0.1708133,0.1695548,0.1919298,0.1592156,0.1747771,0.1706227,0.1790859,0.199649,0.1935112,0.1935112,0.1935112,0.1923241,0.1886821,0.2041819,0.2041819,0.1993272,0.2229968,0.217026,0.217026,0.2013115,0.2158039,0.2013115
"MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS",1e-06,0,0.0086889,0.002119,0.0086889,0.0133583,0.0109332,0.0157278,0.1703398,0.1759209,0.1703398,0.175997,0.1647507,0.1764715,0.1806699,0.1703398,0.1786428,0.1647507,0.1706227,0.1708133,0.1695548,0.1919298,0.1592156,0.1747771,0.1706227,0.1790859,0.199649,0.1935112,0.1935112,0.1935112,0.1923241,0.1886821,0.2041819,0.2041819,0.1993272,0.2229968,0.217026,0.217026,0.2013115,0.2158039,0.2013115
"MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS",0.0086889,0.0086889,0,0.0109715,1e-06,0.0042924,0.0021097,0.008792,0.1808036,0.1864775,0.1808036,0.1865574,0.1751102,0.1870296,0.169948,0.1692016,0.1680041,0.1751102,0.181102,0.1812766,0.1799734,0.2032955,0.1694385,0.1852442,0.181102,0.1899172,0.1886019,0.1825635,0.1825635,0.1825635,0.1931979,0.1777779,0.1931164,0.1931164,0.1882947,0.2116978,0.2057831,0.2057831,0.1901874,0.2046344,0.1901874
"MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS",0.002119,0.002119,0.0109715,0,0.0109715,0.0157479,0.0132535,0.0181653,0.1762889,0.1819404,0.1762889,0.1820189,0.1706227,0.1824937,0.1866734,0.1762889,0.1845998,0.1706227,0.1650245,0.1767638,0.1754756,0.1984617,0.1649925,0.1807418,0.1765816,0.1852713,0.205847,0.199649,0.199649,0.199649,0.1984286,0.1947915,0.2103942,0.2103942,0.2055169,0.2293544,0.2233474,0.2233474,0.2075532,0.2220833,0.2075532
"MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS",0.0086889,0.0086889,1e-06,0.0109715,0,0.0042924,0.0021097,0.008792,0.1808036,0.1864775,0.1808036,0.1865574,0.1751102,0.1870296,0.169948,0.1692016,0.1680041,0.1751102,0.181102,0.1812766,0.1799734,0.2032955,0.1694385,0.1852442,0.181102,0.1899172,0.1886019,0.1825635,0.1825635,0.1825635,0.1931979,0.1777779,0.1931164,0.1931164,0.1882947,0.2116978,0.2057831,0.2057831,0.1901874,0.2046344,0.1901874
"MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS",0.0133583,0.0133583,0.0042924,0.0157479,0.0042924,0,0.0064819,0.0135246,0.1846483,0.2005442,0.1846483,0.1905745,0.1787839,0.1910565,0.1750609,0.1726942,0.1730149,0.1787839,0.1849594,0.1851317,0.183782,0.2080584,0.1729329,0.1891941,0.1849594,0.1941239,0.2045692,0.1982224,0.1982224,0.1982224,0.2093221,0.1932455,0.209233,0.209233,0.2042322,0.228673,0.2225107,0.2225107,0.2063114,0.2212189,0.2063114
"MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS",0.0109332,0.0109332,0.0021097,0.0132535,0.0021097,0.0064819,0,0.0110652,0.1870296,0.1927559,0.1870296,0.192838,0.1812766,0.1933079,0.1760131,0.1752938,0.1740205,0.1812766,0.187337,0.1875013,0.1861734,0.2100491,0.1755244,0.19147,0.187337,0.1963612,0.1934295,0.1873589,0.1873589,0.1873589,0.1980266,0.1825635,0.1979437,0.1979437,0.1931164,0.2165936,0.210665,0.210665,0.1950459,0.2094864,0.1950459
"MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS",0.0157278,0.0157278,0.008792,0.0181653,0.008792,0.0135246,0.0110652,0,0.1931913,0.1992212,0.1931913,0.1993093,0.1871327,0.1997966,0.1832864,0.1808281,0.1865327,0.1871327,0.1935211,0.1936813,0.1922717,0.217857,0.1810618,0.1978233,0.1935211,0.2031705,0.1998738,0.1934783,0.1934783,0.1934783,0.1973768,0.1884507,0.2045993,0.2045993,0.1995382,0.2242481,0.218009,0.218009,0.2016086,0.2167271,0.2016086
"MK887559.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB1_EveE",0.1703398,0.1703398,0.1808036,0.1762889,0.1808036,0.1846483,0.1870296,0.1931913,0,0.0108111,0.0085751,0.0064028,0.0020969,0.0063878,0.0352024,0.00423,0.0377889,0.0064092,0.0086309,0.0042206,0.0086042,0.0110352,0.0063768,0.0107992,0.0042351,0.0064009,0.2346687,0.2278951,0.2278951,0.2278951,0.2264635,0.222681,0.2289586,0.2289586,0.223729,0.2467562,0.2536283,0.2536283,0.2366636,0.2589655,0.2366636
"MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE",0.1759209,0.1759209,0.1864775,0.1819404,0.1864775,0.2005442,0.1927559,0.1992212,0.0108111,0,0.0153376,0.0130901,0.0085724,0.0130577,0.0431811,0.0108111,0.0458656,0.0131035,0.0154422,0.0107849,0.0107883,0.0180693,0.0130337,0.0176602,0.0108221,0.0130882,0.2409945,0.2341834,0.2341834,0.2341834,0.2327234,0.2289586,0.2352679,0.2352679,0.2300284,0.2531176,0.260015,0.260015,0.2430265,0.2653506,0.2430265
